דף,משפחה,משקה,רכיבי GT ₪,רכיבים חיצוניים,שארית מוצהרת ₪,שארית לפי שוק ₪,FOOD COST היום,FOOD COST מוצע,פער ₪,פער %,מחיר,שוליים היום,שוליים מוצע
56,09 COLD FOAM,צ'אי מסאלה קולד פואם פיסטוק,3.25,קרח · ⅔ כוס חלב · 70 מ״ל קצף קר חלבי · פיסטוק גרוס,3.87,2.20,7.12,5.45,+1.67,+31%,28,75%,81%
50,08 CHAI MASSALA,דירטי צ'אי,3.25,קרח · ⅔ כוס חלב · מנת אספרסו · 70 מ״ל קצף חלב,3.97,2.40,7.22,5.65,+1.57,+28%,24,70%,76%
37,06 MATCHA SPECIALS,אייס מאצ'ה פיסטוק,2.12,קרח · ⅔ כוס חלב · פיסטוק גרוס · 70 מ״ל קצף חלב,3.69,2.20,5.81,4.32,+1.49,+35%,28,79%,85%
39,06 MATCHA SPECIALS,אייס מאצ'ה קפה,2.12,קרח · ⅔ כוס חלב · מנת אספרסו · 70 מ״ל קצף חלב,3.79,2.40,5.91,4.52,+1.39,+31%,28,79%,84%
63,10 UBE,אייס אובה מסאלה,3.93,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.99,1.65,6.92,5.58,+1.34,+24%,28,75%,80%
48,08 CHAI MASSALA,אייס צ'אי מסאלה קלאסי,3.25,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב · קינמון,3.07,1.75,6.32,5.00,+1.32,+26%,24,74%,79%
58,09 COLD FOAM,צ'אי מסאלה קולד פואם בננה,3.25,קרח · ⅔ כוס חלב · מחית בננה · 70 מ״ל קצף קר חלבי,3.57,2.25,6.82,5.50,+1.32,+24%,28,76%,80%
38,06 MATCHA SPECIALS,אייס מאצ'ה שומשום שחור,2.12,קרח · ⅔ כוס חלב · שומשום שחור · 70 מ״ל קצף חלב,3.09,1.80,5.21,3.92,+1.29,+33%,28,81%,86%
23,03 SIGNATURE,חליטת תפוח היביסקוס,2.60,קרח · 40 מ״ל מיץ תפוחים · גרניש,1.85,0.65,4.45,3.25,+1.20,+37%,24,81%,86%
64,10 UBE,אייס אובה מאצ'ה,2.80,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.81,1.65,5.61,4.45,+1.16,+26%,28,80%,84%
29,05 ICE MATCHA,אייס מאצ'ה קלאסי,2.12,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.79,1.65,4.91,3.77,+1.14,+30%,26,81%,86%
33,05 ICE MATCHA,אייס מאצ'ה מסאלה,4.72,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.79,1.65,7.51,6.37,+1.14,+18%,26,71%,76%
40,06 MATCHA SPECIALS,אייס מאצ'ה בננה,2.12,קרח · ⅔ כוס חלב · מחית בננה · 70 מ״ל קצף חלב,3.39,2.25,5.51,4.37,+1.14,+26%,28,80%,84%
60,10 UBE,אייס אובה תות,3.08,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.79,1.65,5.87,4.73,+1.14,+24%,28,79%,83%
61,10 UBE,אייס אובה מנגו,3.08,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.79,1.65,5.87,4.73,+1.14,+24%,28,79%,83%
62,10 UBE,אייס אובה אפרסק,3.08,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.79,1.65,5.87,4.73,+1.14,+24%,28,79%,83%
20,03 SIGNATURE,חליטת אפרסק מדברית,5.00,קרח · גרניש,1.40,0.41,6.40,5.41,+0.99,+18%,24,73%,77%
21,03 SIGNATURE,חליטת תות לואיזה,5.00,קרח · גרניש,1.40,0.41,6.40,5.41,+0.99,+18%,24,73%,77%
22,03 SIGNATURE,חליטת מנגו סנצ'ה,5.00,קרח · גרניש,1.40,0.41,6.40,5.41,+0.99,+18%,24,73%,77%
30,05 ICE MATCHA,אייס מאצ'ה מנגו,4.52,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.59,1.65,7.11,6.17,+0.94,+15%,26,73%,76%
31,05 ICE MATCHA,אייס מאצ'ה תות,4.52,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.59,1.65,7.11,6.17,+0.94,+15%,26,73%,76%
32,05 ICE MATCHA,אייס מאצ'ה אפרסק,4.52,קרח · ⅔ כוס חלב · 70 מ״ל קצף חלב,2.59,1.65,7.11,6.17,+0.94,+15%,26,73%,76%
55,09 COLD FOAM,צ'אי מסאלה קולד פואם וניל,3.25,קרח · ⅔ כוס מים · 70 מ״ל קצף קר חלבי · תמצית וניל,1.43,0.70,4.68,3.95,+0.73,+18%,28,83%,86%
25,04 GAZOZ,גזוז יסמין וליצ'י,2.60,קרח · 40 מ״ל מי ליצ'י · ~150 מ״ל סודה · 2 ליצ'י,2.60,1.92,5.20,4.52,+0.68,+15%,22,76%,79%
49,08 CHAI MASSALA,צ'אי מסאלה על הקרח,3.25,קרח · ⅔ כוס מים · 70 מ״ל קצף חלב,1.13,0.55,4.38,3.80,+0.58,+15%,24,82%,84%
51,08 CHAI MASSALA,צ'אי מסאלה תפוז וטוניק,3.25,קרח · ~150 מ״ל טוניק · תפוז יבש,1.90,1.51,5.15,4.76,+0.39,+8%,24,79%,80%
52,08 CHAI MASSALA,צ'אי מסאלה פינק טוניק,3.25,קרח · ~150 מ״ל טוניק ורדים,1.60,1.26,4.85,4.51,+0.34,+8%,24,80%,81%
8,01 ICED TEA,חליטת היביסקוס וליים,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
9,01 ICED TEA,חליטת קמומיל ותפוח,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
10,01 ICED TEA,חליטה מדברית,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
11,01 ICED TEA,חליטת סנצ'ה ופסיפלורה,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
12,01 ICED TEA,חליטת תה ירוק וליים,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
13,01 ICED TEA,חליטת תה ירוק ולמון גראס,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
14,01 ICED TEA,חליטת יסמין וליצ'י,3.25,קרח · סלייס לימון · עשבי קישוט,0.80,0.51,4.05,3.76,+0.29,+8%,19,79%,80%
53,08 CHAI MASSALA,צ'אי מסאלה ומיץ תפוזים,3.25,קרח · ~150 מ״ל מיץ תפוזים,2.10,1.86,5.35,5.11,+0.24,+5%,24,78%,79%
27,04 GAZOZ,גזוז היביסקוס ותפוח,2.60,קרח · 40 מ״ל מיץ תפוחים · ~150 מ״ל סודה · גרניש לפי טעם,1.25,1.02,3.85,3.62,+0.23,+6%,22,82%,84%
34,05 ICE MATCHA,מאצ'ה אגבה על הקרח,2.12,קרח · ⅔ כוס מים · 15 מ״ל סירופ אגבה · 70 מ״ל קצף חלב,1.45,1.23,3.57,3.35,+0.22,+7%,26,86%,87%
26,04 GAZOZ,גזוז מדברי ואפרסק,5.00,קרח · ~150 מ״ל סודה · גרניש לפי טעם,0.80,0.78,5.80,5.79,+0.01,+0%,22,74%,74%
16,02 LEMONADE,לימונדת היביסקוס וליים,3.25,קרח · ~250 מ״ל לימונדה,0.85,0.94,4.10,4.19,-0.09,-2%,19,78%,78%
17,02 LEMONADE,לימונדה מדברית,3.25,קרח · ~250 מ״ל לימונדה,0.85,0.94,4.10,4.19,-0.09,-2%,19,78%,78%
18,02 LEMONADE,לימונדת צ'אי מסאלה,3.25,קרח · ~250 מ״ל לימונדה,0.85,0.94,4.10,4.19,-0.09,-2%,19,78%,78%
43,07 MATCHA COCONUT,מאצ'ה קוקוס ליצ'י,2.12,קרח · 40 מ״ל מי ליצ'י · ~150 מ״ל מי קוקוס · 70 מ״ל קרם קוקוס,2.72,3.02,4.84,5.14,-0.30,-6%,28,83%,82%
36,06 MATCHA SPECIALS,אייס מאצ'ה וניל,2.12,קרח · ⅔ כוס חלב · מקל וניל · 70 מ״ל קצף חלב,3.39,3.85,5.51,5.97,-0.46,-8%,28,80%,79%
57,09 COLD FOAM,צ'אי תאילנדי קוקוס קולד פואם,3.25,קרח · ~150 מ״ל מי קוקוס · 70 מ״ל קרם קוקוס,1.90,2.54,5.15,5.79,-0.64,-11%,28,82%,79%
42,07 MATCHA COCONUT,מאצ'ה קוקוס אגבה,2.12,קרח · 15 מ״ל סירופ אגבה · ~150 מ״ל מי קוקוס · 70 מ״ל קרם קוקוס,2.22,3.21,4.34,5.33,-1.00,-19%,28,84%,81%
44,07 MATCHA COCONUT,מאצ'ה קוקוס תות,4.52,קרח · ~150 מ״ל מי קוקוס · 70 מ״ל קרם קוקוס,1.52,2.54,6.04,7.06,-1.02,-14%,28,78%,75%
45,07 MATCHA COCONUT,מאצ'ה קוקוס מנגו,4.52,קרח · ~150 מ״ל מי קוקוס · 70 מ״ל קרם קוקוס,1.52,2.54,6.04,7.06,-1.02,-14%,28,78%,75%
46,07 MATCHA COCONUT,מאצ'ה קוקוס אפרסק,4.52,קרח · ~150 מ״ל מי קוקוס · 70 מ״ל קרם קוקוס,1.52,2.54,6.04,7.06,-1.02,-14%,28,78%,75%
