דף,משפחה,משקה,רכיבים,עלות בקטלוג,מודל ממומש,פער ₪,פער %,חלק GT %,מודל לפי מחירון
23,03 SIGNATURE,חליטת תפוח היביסקוס,קרח + 40 מ״ל מיץ תפוחים + 40 מ״ל תרכיז GT + גרניש,4.45,2.57,+1.88,+73%,68%,3.41
20,03 SIGNATURE,חליטת אפרסק מדברית,קרח + 40 מ״ל מחית אפרסק + 40 מ״ל תרכיז GT + גרניש,6.40,4.02,+2.38,+59%,88%,5.71
21,03 SIGNATURE,חליטת תות לואיזה,קרח + 40 מ״ל מחית תות + 40 מ״ל תרכיז GT + גרניש,6.40,4.02,+2.38,+59%,88%,5.71
22,03 SIGNATURE,חליטת מנגו סנצ'ה,קרח + 40 מ״ל מנגו + 40 מ״ל תרכיז GT + גרניש,6.40,4.02,+2.38,+59%,88%,5.71
56,09 COLD FOAM,צ'אי מסאלה קולד פואם פיסטוק,קרח + ⅔ כוס חלב + 50 מ״ל מסאלה GT + 70 מ״ל קצף קר חלבי + פיסטוק גרוס,7.12,4.55,+2.57,+57%,48%,5.60
49,08 CHAI MASSALA,צ'אי מסאלה על הקרח,קרח + ⅔ כוס מים + 50 מ״ל מסאלה GT + 70 מ״ל קצף חלב,4.38,2.82,+1.56,+56%,78%,3.87
48,08 CHAI MASSALA,אייס צ'אי מסאלה קלאסי,קרח + ⅔ כוס חלב + 50 מ״ל מסאלה GT + 70 מ״ל קצף חלב + קינמון,6.32,4.10,+2.22,+54%,53%,5.15
63,10 UBE,אייס אובה מסאלה,קרח + 50 מ״ל מסאלה GT + ⅔ כוס חלב + 50 מ״ל אובה (2 גר') + 70 מ״ל קצף חלב,6.92,4.50,+2.42,+54%,61%,5.82
55,09 COLD FOAM,צ'אי מסאלה קולד פואם וניל,קרח + ⅔ כוס מים + 50 מ״ל מסאלה GT + 70 מ״ל קצף קר חלבי + תמצית וניל,4.68,3.07,+1.61,+53%,71%,4.12
50,08 CHAI MASSALA,דירטי צ'אי,קרח + ⅔ כוס חלב + 50 מ״ל מסאלה GT + מנת אספרסו + 70 מ״ל קצף חלב,7.22,4.85,+2.37,+49%,45%,5.90
58,09 COLD FOAM,צ'אי מסאלה קולד פואם בננה,קרח + ⅔ כוס חלב + 50 מ״ל מסאלה GT + מחית בננה + 70 מ״ל קצף קר חלבי,6.82,4.75,+2.07,+44%,46%,5.80
60,10 UBE,אייס אובה תות,קרח + 40 מ״ל מחית תות + ⅔ כוס חלב + 50 מ״ל אובה (2 גר') + 70 מ״ל קצף חלב,5.87,4.07,+1.80,+44%,57%,5.18
61,10 UBE,אייס אובה מנגו,קרח + 40 מ״ל מנגו + ⅔ כוס חלב + 50 מ״ל אובה (2 גר') + 70 מ״ל קצף חלב,5.87,4.07,+1.80,+44%,57%,5.18
62,10 UBE,אייס אובה אפרסק,קרח + 40 מ״ל מחית אפרסק + ⅔ כוס חלב + 50 מ״ל אובה (2 גר') + 70 מ״ל קצף חלב,5.87,4.07,+1.80,+44%,57%,5.18
8,01 ICED TEA,חליטת היביסקוס וליים,קרח + 50 מ״ל תרכיז GT + סלייס לימון + עשבי קישוט,4.05,2.84,+1.21,+42%,77%,3.89
9,01 ICED TEA,חליטת קמומיל ותפוח,קרח + 50 מ״ל תרכיז GT + סלייס לימון + עשבי קישוט,4.05,2.84,+1.21,+42%,77%,3.89
10,01 ICED TEA,חליטה מדברית,קרח + 50 מ״ל תרכיז GT + סלייס לימון + עשבי קישוט,4.05,2.84,+1.21,+42%,77%,3.89
11,01 ICED TEA,חליטת סנצ'ה ופסיפלורה,קרח + 50 מ״ל תרכיז GT + סלייס לימון + עשבי קישוט,4.05,2.84,+1.21,+42%,77%,3.89
12,01 ICED TEA,חליטת תה ירוק וליים,קרח + 50 מ״ל תרכיז GT + סלייס לימון + עשבי קישוט,4.05,2.84,+1.21,+42%,77%,3.89
13,01 ICED TEA,חליטת תה ירוק ולמון גראס,קרח + 50 מ״ל תרכיז GT + סלייס לימון + עשבי קישוט,4.05,2.84,+1.21,+42%,77%,3.89
