pg,fam,name,gt_old,gt_new,ext_old,ext_new,c_old,c_new,p_old,p_new,m_old,m_new,prof_new,hits81,needs
8,01 ICED TEA,חליטת היביסקוס וליים,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
9,01 ICED TEA,חליטת קמומיל ותפוח,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
10,01 ICED TEA,חליטה מדברית,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
11,01 ICED TEA,חליטת סנצ'ה ופסיפלורה,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
12,01 ICED TEA,חליטת תה ירוק וליים,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
13,01 ICED TEA,חליטת תה ירוק ולמון גראס,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
14,01 ICED TEA,חליטת יסמין וליצ'י,3.25,2.6,0.51,0.51,3.76,3.11,19,20,77,82,13.84,yes,20
16,02 LEMONADE,לימונדת היביסקוס וליים,3.25,2.6,0.94,0.94,4.19,3.54,19,22,74,81,15.1,yes,22
17,02 LEMONADE,לימונדה מדברית,3.25,2.6,0.94,0.94,4.19,3.54,19,22,74,81,15.1,yes,22
18,02 LEMONADE,לימונדת צ'אי מסאלה,3.25,2.6,0.94,0.94,4.19,3.54,19,22,74,81,15.1,yes,22
20,03 SIGNATURE,חליטת אפרסק מדברית,5.0,3.28,0.41,0.41,5.41,3.69,24,24,73,82,16.65,yes,23
21,03 SIGNATURE,חליטת תות לואיזה,5.0,3.28,0.41,0.41,5.41,3.69,24,24,73,82,16.65,yes,23
22,03 SIGNATURE,חליטת מנגו סנצ'ה,5.0,3.28,0.41,0.41,5.41,3.69,24,24,73,82,16.65,yes,23
23,03 SIGNATURE,חליטת תפוח היביסקוס,2.6,2.08,0.65,0.65,3.25,2.73,24,24,84,87,17.61,yes,17
25,04 GAZOZ,גזוז יסמין וליצ'י,2.6,2.08,1.92,1.92,4.52,4.0,22,25,76,81,17.19,yes,25
26,04 GAZOZ,גזוז מדברי ואפרסק,5.0,3.28,0.78,0.78,5.79,4.06,22,26,69,82,17.97,yes,26
27,04 GAZOZ,גזוז היביסקוס ותפוח,2.6,2.08,1.02,1.02,3.62,3.1,22,22,81,83,15.54,yes,20
29,05 ICE MATCHA,אייס מאצ'ה קלאסי,2.12,2.12,1.65,1.65,3.77,3.77,26,26,83,83,18.26,yes,24
