item_id,item_name,manual_avg_sale_price_ils_before,item_updated_at_before,realized_90d_net_ex_vat,units_90d
FG-DET-1L,DETOX 1L,50.7300,2026-06-25,42.2160,4075
FG-MAT-500G,MATCHA 0.5KG,528.6000,2026-06-25,392.5568,400
FG-MAT-18G,MATCHA 18G (carton of 22),454.6600,2026-06-25,374.6698,378
FG-NAM-1L,NAMASTEA 1L,50.9100,2026-06-25,42.8706,3185
FG-FRE-1L,FRESH 1L,51.4800,2026-06-25,43.6177,2600
FG-DET-1L-NS,DETOX 1L NO SUGAR,51.5600,2026-06-25,43.0582,2073
FG-REV-1L,REVIVE 1L,50.3200,2026-06-25,43.2004,1572
FG-FRE-1L-NS,FRESH 1L NO SUGAR,53.3200,2026-06-25,45.7249,1015
FG-CAL-1L,CALM 1L,53.0001,2026-06-25,44.6704,968
FG-ENE-1L,ENERGY 1L,55.1500,2026-06-25,46.5023,841
FG-CON-1L,CONSCIOUSNESS 1L,49.8400,2026-06-25,43.6525,819
ADD-ODK-STR-1L,ODK STRAWBERRY 1L SMOOTHIE,53.8400,2026-06-25,42.8869,832
ADD-ODK-MAN-1L,ODK MANGO 1L SMOOTHIE,54.0000,2026-06-25,42.6102,699
FG-DET-500ML,DETOX 0.5L,26.9200,2026-06-25,22.2828,1268
FG-FRE-500ML,FRESH 0.5L,26.1100,2026-06-25,22.6945,1153
FG-DES-1L,DESERTEA 1L,48.3999,2026-06-25,45.8551,565
FG-DET-500ML-NS,DETOX 0.5L NO SUGAR,25.3899,2026-06-25,21.6656,859
FG-NAM-500ML,NAMASTEA 0.5L,24.9800,2026-08-03,21.3694,831
ADD-UBE-1KG,UBE POWDER 1KG,340.0000,2026-06-19,272.6675,63
FG-REV-500ML,REVIVE 0.5L,25.5800,2026-06-25,22.1123,776
FG-MAT-30G,MATCHA 30G,38.0000,2026-06-25,32.2034,530
FG-ENE-500ML,ENERGY 0.5L,26.6300,2026-06-25,23.4969,699
FG-NM-1L,NONOMIMI SANGRIA 1L,38.0000,2026-06-25,32.9567,378
FG-FRE-500ML-NS,FRESH 0.5L NO SUGAR,27.8600,2026-06-25,22.3637,498
FG-CAL-500ML,CALM 0.5L,27.8600,2026-06-25,23.6557,453
ADD-UBE-500G,UBE POWDER 500G,130.0000,2026-06-19,112.8586,93
FG-DET-STR-500ML,TUTEA ELITA 0.5L,24.0000,2026-06-30,20.3389,462
FG-CON-500ML,CONSCIOUSNESS 0.5L,26.0999,2026-06-25,21.8345,390
FG-NM-3850ML,NONOMIMI SANGRIA 3.85L,123.0000,2026-06-25,104.2367,61
FG-SAN-WHI-3850ML,WHITE SANGRIA 3.85L,108.3000,2026-06-26,159.8736,36
FG-SAN-WHI-300ML,WHITE SANGRIA ELITA 0.3L,,2026-07-22,13.5593,292
FG-SAN-WHI-1L,WHITE SANGRIA 1L,35.3000,2026-06-26,35.6195,100
ADD-ODK-PEA-1L,ODK PEACH 1L SMOOTHIE,55.1900,2026-06-25,45.6009,74
GT-MAT-KIT,MATCHA ADDITIONAL KIT,128.6000,2026-08-03,106.5077,31
FG-MAR-CLA-300ML,MARGARITA CLASSIC ELITA 0.3L,25.0000,2026-06-25,21.1864,132
FG-MAR-PEA-300ML,MARGARITA PEAR ELITA 0.3L,25.0000,2026-06-25,21.1864,132
