group	sku	price_ils_exvat	shopify_title	status
אבקות — אריזה חדשה	GT-UBE-CAN-50	30.00	Ube Can 50g	פתוח
אריזה, פחיות וציוד	GT-GLA-MAT-PRINT	0.44	Matcha Printed Cup with Lid	פתוח
אריזה, פחיות וציוד	GTMN-PIK-254	0.25	Pikadon 254	פתוח
אריזה, פחיות וציוד	MM-CAN-CLO-MACHI	5000.00	Can Sealing Machine	פתוח
אריזה, פחיות וציוד	MM-DRI-CAN-0.2L	165.00	Beverage Can 200ml	פתוח
אריזה, פחיות וציוד	MM-DRI-CAN-0.33L	165.00	Beverage Can 330ml	פתוח
אריזה, פחיות וציוד	MM-DRI-CAN-0.5L	165.00	Beverage Can 500ml	פתוח
אריזה, פחיות וציוד	PCKBX-CAR-BOX-0.2L	2.50	Cardboard Box 200ml	פתוח
אריזה, פחיות וציוד	PCKBX-CAR-BOX-PCKBX-CAR-BOX-1L	2.50	Cardboard Box 1000ml	פתוח
טפיוקה באבלס וקשיות	AP-PLA-STR-11	17.00	Plastic Straws 11mm	פתוח
טפיוקה באבלס וקשיות	AP-TAP-BER-0.6	55.00	Tapioca Blueberry 600g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-BER-3.3	167.00	Tapioca Blueberry 3400g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-LYC-0.6	55.00	Tapioca Lychee 600g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-LYC-3.4	167.00	Tapioca Lychee 3400g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-MAN-0.6	55.00	Tapioca Mango 600g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-MAN-3.4	167.00	Tapioca Mango 3400g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-PIN-0.6	55.00	Tapioca Pineapple 600g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-PIN-3.4	167.00	Tapioca Pineapple 3400g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-SCR	61.00	Tapioca Salted Caramel 1300g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-SCR-0.6	55.00	Tapioca Salted Caramel 600g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-STR	61.00	Tapioca Strawberry 1300g	פתוח
טפיוקה באבלס וקשיות	AP-TAP-STR-0.6	55.00	Tapioca Strawberry 600g	פתוח
נוסף למחסן היום	GT-AME-LOW-0.5L	65.00	American Tea 0.5L	תוקן במחסן 2026-08-27
נוסף למחסן היום	GT-AME-LOW-1L	33.00	American Tea 1L	תוקן במחסן 2026-08-27
נוסף למחסן היום	GT-HOJ-BLK-1000	750.00	Hojicha Black Matcha 1KG	תוקן במחסן 2026-08-27
נוסף למחסן היום	GT-HOJ-BLK-500	375.00	Hojicha Black Matcha 0.5KG	תוקן במחסן 2026-08-27
סנגריות ומרגריטות	GTCC-JAS-JAZ-1L	88.00	Jasmine Jazz cocktail 1L	פתוח
סנגריות ומרגריטות	GTCC-NM-SAN-3.85L	174.00	GT Sangria 3850ml	פתוח
סנגריות ומרגריטות	GTCC-NON-SAN-1L	38.00	Nonomimi Sangria 1000ml	פתוח
סנגריות ומרגריטות	GTCC-NON-SAN-3.85L	123.00	Nonomimi Sangria 3850ml	פתוח
סנגריות ומרגריטות	GTCC-PIN-SAN-1L	45.00	Pink Sangria 1000ml	פתוח
סנגריות ומרגריטות	GTCC-SAN-RED-3.85L	188.65	Red Sangria 3.85L	פתוח
סנגריות ומרגריטות	GTCC-SAN-WHI-3.85L	188.65	White Sangria 3.85L	פתוח
סנגריות ומרגריטות	GTCC-TRO-JAP-1L	88.00	Tropical in Japan cocktail 1L	פתוח
סנגריות ומרגריטות	GTCC-WHI-SAN-1L	45.00	White Sangria 1000ml	פתוח
סנגריות ומרגריטות	GTEL-COS-LYC-0.3L	25.00	Elita Cosmo Lychee 300ml	פתוח
סנגריות ומרגריטות	GTEL-MAR-CLA-0.3L	25.00	Margarita Classic Elita	פתוח
סנגריות ומרגריטות	GTEL-MAR-PEA-0.3L	25.00	Margarita Pear Elita	פתוח
סנגריות ומרגריטות	GTEL-MAR-STR-0.3L	25.00	Margarita Strawberry Elita	פתוח
סנגריות ומרגריטות	GTEL-SAN-RED-0.3	16.00	Elita Red Sangria 300ml	פתוח
סנגריות ומרגריטות	GTEL-SAN-RED-0.75L	33.00	Elita Red Sangria 750ml	פתוח
סנגריות ומרגריטות	GTEL-SAN-WHI-0.3	16.00	Elita White Sangria 300ml	פתוח
סנגריות ומרגריטות	GTEL-SAN-WHI-0.75L	33.00	Elita White Sangria 750ml	פתוח
פירות יבשים וגרניש	AP-DRI-APP	30.00	Dried Apple 300g	פתוח
פירות יבשים וגרניש	AP-DRI-COC-CHI	99.00	Dried Coconut Chips	פתוח
פירות יבשים וגרניש	AP-DRI-MAN	70.00	Dried Mango 1000g	פתוח
פירות יבשים וגרניש	AP-DRI-ORA	17.00	Dried Orange 100g	פתוח
פירות יבשים וגרניש	AP-DRI-PIN	80.00	Dried Pineapple 1000g	פתוח
פירות יבשים וגרניש	AP-DRI-ROS	45.00	Dried Purple Roses 200g	פתוח
פירות יבשים וגרניש	AP-GAR-ANISE	0.00	Star Anise Garnish	פתוח
פירות יבשים וגרניש	AP-STI-CIN	60.00	Cinnamon Sticks 1000g	פתוח
פריטי יחיד	GT-ELT-STR-0.5L	24.00	Elita Strawberry Detox 500ml	פתוח
פריטי יחיד	GTEL-BAB-RED-0.75L	45.00	Babka Red Sangria 750ml	פתוח
פריטי יחיד	GTEL-BAB-WHI-0.75L	45.00	Babka White Sangria 750ml	פתוח
קוקטיילים MUZA	GTCC-MUZ-ANBL-1L	88.00	Muza Anise Bliss 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-APPZ-1L	89.00	Muza Apple Zest 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-BZSM-1L	88.00	Muza Basil Smash 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-CHRBL-1L	88.00	Muza Cherry Bloom 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-HER-0.2L	24.00	Muza Herbal Mule 200ml	פתוח
קוקטיילים MUZA	GTCC-MUZ-JAS-0.2L	24.00	Muza Jasmine 200ml	פתוח
קוקטיילים MUZA	GTCC-MUZ-JASJ-1L	88.00	Muza Jasmin Jazz 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-JASM-1L	88.00	Muza Jasmin 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-NEG-0.2L	25.00	Muza Negroni 200ml	פתוח
קוקטיילים MUZA	GTCC-MUZ-PNMM-1L	92.00	Muza Pink Mama 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-PSC-0.2L	24.00	Muza Passion Spritz 200ml	פתוח
קוקטיילים MUZA	GTCC-MUZ-PSSP-1L	87.00	Muza Passion Spritz 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-QUE-0.2L	24.00	Muza Queen Violet 200ml	פתוח
קוקטיילים MUZA	GTCC-MUZ-RSSP-1L	85.00	Muza Russian Sputnik 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-SMAR-1L	89.00	Muza Spicy Margarita 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-TRIL-1L	90.00	Muza Tropical Israeli 1L	פתוח
קוקטיילים MUZA	GTCC-MUZ-TROJ-1L	88.00	Muza Tropical in Japan 1L	פתוח
קוקטיילים MUZA	GTMX-MUZ-BZSM-1L	71.00	Muza Basil Smash Mixer 1L	פתוח
קוקטיילים MUZA	GTMX-MUZ-HER-1L	68.00	Muza Herbal Mule Mixer 1L	פתוח
קוקטיילים MUZA	GTMX-MUZ-JASM-1L	81.00	Muza Jasmin Mixer 1L	פתוח
קוקטיילים MUZA	GTMX-MUZ-MRCL-1L	73.00	Muza Classic Margarita Mixer	פתוח
קוקטיילים MUZA	GTMX-MUZ-PNMM-1L	78.00	Muza Pink Mama Mixer 1L	פתוח
קוקטיילים MUZA	GTMX-MUZ-PRPL-1L	78.00	Muza Purple Kiss Mixer 1L	פתוח
קוקטיילים MUZA	GTMX-MUZ-TRIL-1L	75.00	Muza Tropical Israeli Mixer	פתוח
תמציות תה 0.3 ליטר	GT-CHA-LOW-0.3L	13.50	CALM 0.3L	פתוח
תמציות תה 0.3 ליטר	GT-HIB-LOW-0.3L	13.50	FRESH 0.3L	פתוח
תמציות תה 0.3 ליטר	GT-LUI-LOW-0.3L	13.50	DETOX 0.3L	פתוח
תמציות תה 0.3 ליטר	GT-SEN-LOW-0.3L	13.50	REVIVE 0.3L	פתוח
